EX_RL,RL,EX_RT,RT,nu_RL,nu_RT,q,Q2
22.45285,54.644868,30.915000000000003,12.924,0.02340812195502551,0.03184940755227217,0.148,0.02
22.62737,52.930584,31.079,13.32,0.02358227589834883,0.03201294040287905,0.148,0.02
22.68332,51.850332000000016,31.251,13.6836,0.02363810796974519,0.03218444790272024,0.148,0.02
22.84606,50.548968,31.421999999999997,13.4568,0.02380050337266226,0.03235495566487501,0.148,0.02
23.018009999999997,49.657716,31.592000000000002,13.2012,0.02397208671580309,0.03252446373496021,0.148,0.02
23.05499,50.383044000000005,31.756,13.4028,0.02400898751826652,0.03268798673837026,0.148,0.02
23.21623,50.341212000000006,31.917,13.359599999999999,0.02416988078113391,0.0328485161472063,0.148,0.02
23.29296,51.309720000000006,32.089,13.060799999999999,0.02424644496629647,0.03302001086431083,0.148,0.02
23.41376,52.858259999999994,32.257,13.0176,0.0243669828550086,0.03318751479967119,0.148,0.02
23.49362,53.820468000000005,32.424,12.9312,0.02444666886301228,0.03335401920749348,0.148,0.02
23.664959999999997,54.15811200000001,32.63,12.963600000000001,0.02461763364973635,0.03355940447179684,0.148,0.02
23.83595,54.149004,32.82,12.1896,0.0247882466018261,0.03374883414715235,0.148,0.02
23.91256,53.003808000000014,33.008,11.311200000000001,0.02486468682720577,0.03393626667579674,0.148,0.02
23.9656,51.593004,33.171,11.138399999999999,0.0249176089802603,0.03409877213004187,0.148,0.02
24.03085,49.955976,33.347,10.9548,0.02498271366157212,0.03427423549745434,0.148,0.02
24.11661,48.165192000000005,33.506,11.019599999999999,0.02506828208951006,0.03443274833789189,0.148,0.02
24.199579999999997,46.555704000000006,33.674,11.4804,0.02515106612777984,0.03460023116850586,0.148,0.02
24.215919999999997,45.240012,33.841,11.862,0.02516736943262998,0.03476671459814185,0.148,0.02
24.312070000000002,43.40394,34.009,12.351600000000001,0.02526330302559643,0.03493419244044382,0.148,0.02
24.35285,42.179328000000005,34.181999999999995,12.0384,0.02530399099301484,0.03510665212812469,0.148,0.02
