E0,ThetaDeg,nu,A,Z,CS_qe,CS_mec,CS_inel,cross,,
0.2801,145,5.26E-02,12,6,360.6122711,11.36002678,0,371.9722979,,
0.2801,145,5.76E-02,12,6,465.0684058,15.78319638,0,480.8516022,,
0.2801,145,6.26E-02,12,6,582.9459361,20.67006622,0,603.6160024,,
0.2801,145,6.76E-02,12,6,711.7208105,25.61319631,0,737.3340068,,
0.2801,145,7.26E-02,12,6,847.3060688,31.43698683,0,878.7430557,,
0.2801,145,7.76E-02,12,6,984.3387092,37.8435632,0,1022.182272,,
0.2801,145,8.26E-02,12,6,1116.698429,44.88123564,0,1161.579665,,
0.2801,145,8.76E-02,12,6,1238.162818,52.59820648,0,1290.761024,,
0.2801,145,9.26E-02,12,6,1343.068086,61.04169795,0,1404.109784,,
0.2801,145,9.76E-02,12,6,1426.842911,70.25695493,0,1497.099866,,
0.2801,145,0.1026,12,6,1486.323932,80.28612718,0,1566.610059,,
0.2801,145,0.1076,12,6,1519.832344,91.16704102,0,1610.999385,,
0.2801,145,0.1126,12,6,1527.059774,102.9318774,0,1629.991651,,
0.2801,145,0.1176,12,6,1508.848667,115.6057826,0,1624.45445,,
0.2801,145,0.1226,12,6,1466.949952,129.2054389,0,1596.155391,,
0.2801,145,0.1276,12,6,1403.81181,143.7376107,0,1547.549421,,
0.2801,145,0.1326,12,6,1322.417787,159.1976568,0,1481.615444,,
0.2801,145,0.1376,12,6,1226.164777,175.5679774,0,1401.732755,,
0.2801,145,0.1426,12,6,1118.757211,192.8163557,0,1311.573566,,
0.2801,145,0.1476,12,6,1004.092194,210.893869,0,1214.986063,,
0.2801,145,0.1526,12,6,886.1178268,229.7328881,0,1115.850715,,
0.2801,145,0.1576,12,6,768.6595314,249.339876,0,1017.999407,,
0.2801,145,0.1626,12,6,655.2234337,269.6303667,0.30858976,925.1623902,,
0.2801,145,0.1676,12,6,548.7984929,290.4708294,1.270463067,840.5397854,,
0.2801,145,0.1726,12,6,451.687212,311.7424592,3.184136655,766.6138078,,
0.2801,145,0.1776,12,6,365.3959561,333.3098994,6.450223357,705.1560789,,
0.2803,60,2.80E-03,12,6,0,0,0,0,,
0.2803,60,7.80E-03,12,6,6402.268947,0,0,6402.268947,,
0.2803,60,1.28E-02,12,6,13852.80814,0,0,13852.80814,,
0.2803,60,1.78E-02,12,6,20785.70995,0,0,20785.70995,,
0.2803,60,2.28E-02,12,6,26728.24067,0,0,26728.24067,,
0.2803,60,2.78E-02,12,6,31332.69619,0,0,31332.69619,,
0.2803,60,3.28E-02,12,6,34422.06749,0.139478111,0,34422.20697,,
0.2803,60,3.78E-02,12,6,37404.43335,0.400234738,0,37404.83359,,
