A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.0426,0.2801,145,354,20.961374,1
12,6,0.0428,0.3203,60,23300,919.2758019,1
12,6,0.0428,0.2803,60,36160,1454.872751,1
12,6,0.0429,0.2404,60,48650,2216.70634,1
12,6,0.043,0.4005,90,260,21.93444779,1
12,6,0.0432,0.3207,90,1950,97.27795228,1
12,6,0.0434,0.3609,60,13230,512.7762475,1
12,6,0.0434,0.1609,60,71350,6842.030912,1
12,6,0.0435,0.401,60,7880,306.778878,1
12,6,0.0436,0.2411,90,8100,403.5244726,1
12,6,0.0436,0.2411,145,1070,64.67518844,1
12,6,0.0449,0.1999,90,15130,850.6469773,1
12,6,0.0449,0.1999,145,2520,132.7421561,1
12,6,0.0451,0.3601,90,850,42.03569911,1
12,6,0.0451,0.3601,145,10,6.009991681,1
12,6,0.0451,0.3201,145,81,7.541432225,1
12,6,0.0472,0.1597,90,19390,1534.785496,1
12,6,0.0472,0.1597,145,5420,312.6526507,1
12,6,0.0473,0.4798,60,2600,103.0145621,1
12,6,0.0475,0.48,36,86680,4223.388081,1
12,6,0.0475,0.4,36,134200,7209.137813,1
12,6,0.0475,0.32,36,175900,11941.60257,1
12,6,0.0475,0.24,36,206600,26235.05045,1
12,6,0.0475,0.2,36,200300,43477.24126,1
12,6,0.0475,0.68,60,50,10.14889156,1
12,6,0.0475,0.62,60,150,11.26942767,1
12,6,0.0475,0.44,60,4940,188.9029381,1
12,6,0.0475,0.2,60,56440,4309.079754,1
12,6,0.0476,0.2801,90,4600,212.1131773,1
12,6,0.0476,0.2801,145,434,23.4526587,1
12,6,0.0478,0.3203,60,24740,977.4359928,1
12,6,0.0478,0.2803,60,38100,1538.191145,1
12,6,0.0479,0.2404,60,46250,2140.858473,1
12,6,0.048,0.4005,90,310,22.70066078,1
12,6,0.0482,0.3207,90,2260,119.2858751,1
12,6,0.0484,0.3609,60,14690,571.4501903,1
12,6,0.0484,0.1609,60,58670,6372.770409,1
12,6,0.0485,0.401,60,8910,347.6574751,1
12,6,0.0486,0.2411,90,8690,417.9944018,1
12,6,0.0486,0.2411,145,1280,68.33798358,1
12,6,0.0499,0.1999,90,15350,855.3636654,1
12,6,0.0499,0.1999,145,2940,149.9077049,1
12,6,0.0501,0.3601,90,1010,46.08817636,1
12,6,0.0501,0.3601,145,15,6.02245797,1
12,6,0.0501,0.3201,145,110,7.969943538,1
12,6,0.0513,0.5188,60,1590,68.07143307,1
12,6,0.0518,0.5193,90,10,2.029778313,1
12,6,0.0519,0.4794,90,30,3.174901573,1
12,6,0.0522,0.1597,90,17230,1476.058088,1
12,6,0.0522,0.1597,145,5620,332.8682622,1
12,6,0.0523,0.4798,60,3140,124.2236692,1
12,6,0.0525,0.68,36,18490,978.7012414,1
12,6,0.0525,0.62,36,30210,1503.852692,1
12,6,0.0525,0.56,36,51190,2672.919625,1
12,6,0.0525,0.48,36,90870,4439.113456,1
12,6,0.0525,0.4,36,129900,7029.140203,1
12,6,0.0525,0.32,36,151700,10777.92039,1
12,6,0.0525,0.24,36,137900,24823.96608,1
12,6,0.0525,0.56,60,750,47.69696007,1
12,6,0.0525,0.44,60,5800,220.1544912,1
12,6,0.0525,0.2,60,47050,3988.238082,1
12,6,0.0526,0.2801,90,5220,234.9427165,1
12,6,0.0526,0.2801,145,552,26.9563499,1
12,6,0.0528,0.3203,60,25830,1020.160125,1
12,6,0.0528,0.2803,60,38150,1550.034516,1
12,6,0.0529,0.2404,60,43750,2070.018116,1
12,6,0.053,0.4005,90,390,24.13545111,1
12,6,0.0532,0.3207,90,2730,137.6353152,1
12,6,0.0534,0.3609,60,16020,621.5854567,1
12,6,0.0535,0.401,60,10170,395.6193625,1
12,6,0.0536,0.2411,90,9400,449.5909252,1
12,6,0.0536,0.2411,145,1442,72.10573347,1
12,6,0.0549,0.1999,90,15280,877.5956245,1
12,6,0.0549,0.1999,145,3400,182.953546,1
12,6,0.0551,0.3601,90,1210,57.93893337,1
12,6,0.0551,0.3601,145,39,8.113273075,1
12,6,0.0551,0.3201,145,150,11.26942767,1
12,6,0.0572,0.1597,90,14640,1404.740374,1
12,6,0.0572,0.1597,145,5500,338.6738844,1
12,6,0.0573,0.4798,60,3600,138.3907511,1
12,6,0.0575,0.48,36,90590,4467.690423,1
12,6,0.0575,0.4,36,122900,6712.778263,1
12,6,0.0575,0.32,36,133700,9917.84896,1
12,6,0.0575,0.24,36,138300,20381.07867,1
12,6,0.0575,0.68,60,40,10.09554357,1
12,6,0.0575,0.62,60,260,13.45808307,1
12,6,0.0575,0.44,60,6530,247.3238363,1
12,6,0.0575,0.2,60,39000,3817.080036,1
12,6,0.0576,0.2801,90,5690,260.2908374,1
12,6,0.0576,0.2801,145,720,37.49773327,1
12,6,0.0578,0.3203,60,26260,1042.883081,1
12,6,0.0578,0.2803,60,36760,1509.190882,1
12,6,0.0579,0.2404,60,39630,1953.648965,1
12,6,0.058,0.4005,90,520,26.91616615,1
12,6,0.0582,0.3207,90,3100,161.0341578,1
12,6,0.0584,0.3609,60,17330,671.1145058,1
12,6,0.0585,0.401,60,10980,425.1734705,1
12,6,0.0586,0.2411,90,9920,476.4322407,1
12,6,0.0586,0.2411,145,1661,80.29137687,1
12,6,0.0597,0.3997,145,7,1.028980078,1
12,6,0.0599,0.1999,90,13750,830.2258729,1
12,6,0.0599,0.1999,145,3660,196.4044806,1
12,6,0.0601,0.3601,90,1480,71.61340657,1
12,6,0.0601,0.3601,145,25,7.05336799,1
12,6,0.0601,0.3201,145,210,14.03281868,1
12,6,0.0613,0.5188,60,2300,94.06380813,1
12,6,0.0618,0.5193,90,20,3.078960864,1
12,6,0.0619,0.4794,90,60,4.507771068,1
12,6,0.0622,0.1597,90,12000,1336.300865,1
12,6,0.0622,0.1597,145,5130,331.6327487,1
12,6,0.0623,0.4798,60,4150,159.8968417,1
12,6,0.0625,0.68,36,23630,1223.990311,1
12,6,0.0625,0.62,36,35980,1779.430381,1
12,6,0.0625,0.56,36,55510,2899.402028,1
12,6,0.0625,0.48,36,88260,4389.7942,1
12,6,0.0625,0.4,36,115400,6385.999687,1
12,6,0.0625,0.32,36,107500,8697.534133,1
12,6,0.0625,0.24,36,102200,18757.13752,1
12,6,0.0625,0.56,60,1170,72.40635332,1
12,6,0.0625,0.44,60,7440,284.2961836,1
12,6,0.0625,0.2,60,31660,3553.48093,1
12,6,0.0626,0.2801,90,6180,286.235707,1
12,6,0.0626,0.2801,145,810,41.07700087,1
12,6,0.0628,0.3203,60,26370,1056.1024,1
12,6,0.0628,0.2803,60,34670,1443.056021,1
12,6,0.0629,0.2404,60,33680,1754.226576,1
12,6,0.063,0.4005,90,640,37.30308298,1
12,6,0.0632,0.3207,90,3550,178.9497136,1
12,6,0.0634,0.3609,60,18280,709.4998802,1
12,6,0.0635,0.401,60,11980,460.6782826,1
12,6,0.0636,0.2411,90,10330,500.5503771,1
12,6,0.0636,0.2411,145,1913,96.39233787,1
12,6,0.0647,0.3997,145,8,1.037689742,1
12,6,0.0649,0.1999,90,12280,776.8256432,1
12,6,0.0649,0.1999,145,3750,206.0946385,1
