 ################ 1 Barreau:1983ht             1
##################### 2 O'Connell:1987ag           1
#  3 Sealock:1989nx             1
################## 4 Baran:1988tw               1
# 5 Bagdasaryan:1988hp         0
# 6 Dai - HallA:2019da            1
# 7 Arrington:1995hs           1
 8 Day:1993md                 1
 9 Arrington:1998psnoCC       0
10 Gaskell:2008               1
11 Whitney:1974hr             0
12 AlsamiJan05                  1
13 VaheJun07                  1
14 E139                       0
15 Fomin                      0
16 Yamaguchi73
17 Ryan84
18 Cyzyk63
19 Bounin63
20 Spanner
21 Mihovilovic:2024ymj
Bosted:1992fy                           set =           25
 Rock-pc                                 set =           26
 Tvaskis:2006                            set =           27
 GarinoBates:1992                        set =           28
 Day:1993md                              set =           29
 YaLIJan05:2005                          set =           30
 VaheJun07: 2007                         set =           31
 E139                                    set =           32
 MurphyHallA:2019                        set =           33
 Franz:1981cw                            set =           34
   Z   A     E        theta     Nu      CS           err        set
      6     12   0.3201  90.0000   0.2082 0.1520E+04 0.2100E+03   1
      6     12   0.3201  90.0000   0.2132 0.1550E+04 0.2300E+03   1
      6     12   0.3201  90.0000   0.2182 0.1660E+04 0.2600E+03   1
      6     12   0.3201 145.0000   0.0301 0.6000E+01 0.2000E+01   1
      6     12   0.3201 145.0000   0.0351 0.5200E+02 0.3000E+01   1
      6     12   0.3201 145.0000   0.0401 0.5100E+02 0.4000E+01   1
      6     12   0.3201 145.0000   0.0451 0.8100E+02 0.7000E+01   1
      6     12   0.3201 145.0000   0.0501 0.1100E+03 0.7000E+01   1
      6     12   0.3201 145.0000   0.0551 0.1500E+03 0.1000E+02   1
      6     12   0.3201 145.0000   0.0601 0.2100E+03 0.1200E+02   1
      6     12   0.3201 145.0000   0.0651 0.2600E+03 0.1200E+02   1
      6     12   0.3201 145.0000   0.0701 0.3230E+03 0.1400E+02   1
      6     12   0.3201 145.0000   0.0751 0.4270E+03 0.2000E+02   1
      6     12   0.3201 145.0000   0.0801 0.4560E+03 0.2000E+02   1
      6     12   0.3201 145.0000   0.0851 0.5600E+03 0.2100E+02   1
      6     12   0.3201 145.0000   0.0901 0.6410E+03 0.2100E+02   1
      6     12   0.3201 145.0000   0.0951 0.7240E+03 0.2700E+02   1
      6     12   0.3201 145.0000   0.1001 0.8510E+03 0.3500E+02   1
      6     12   0.3201 145.0000   0.1051 0.9240E+03 0.3600E+02   1
      6     12   0.3201 145.0000   0.1101 0.1016E+04 0.4500E+02   1
      6     12   0.3201 145.0000   0.1151 0.1074E+04 0.4100E+02   1
      6     12   0.3201 145.0000   0.1201 0.1237E+04 0.4700E+02   1
      6     12   0.3201 145.0000   0.1251 0.1230E+04 0.5500E+02   1
      6     12   0.3201 145.0000   0.1301 0.1300E+04 0.5100E+02   1
      6     12   0.3201 145.0000   0.1351 0.1305E+04 0.4600E+02   1
      6     12   0.3201 145.0000   0.1401 0.1388E+04 0.5100E+02   1
      6     12   0.3201 145.0000   0.1451 0.1395E+04 0.5200E+02   1
      6     12   0.3201 145.0000   0.1501 0.1357E+04 0.5400E+02   1
      6     12   0.3201 145.0000   0.1551 0.1324E+04 0.5300E+02   1
      6     12   0.3201 145.0000   0.1601 0.1330E+04 0.5600E+02   1
      6     12   0.3201 145.0000   0.1651 0.1197E+04 0.5200E+02   1
      6     12   0.3201 145.0000   0.1701 0.1144E+04 0.5000E+02   1
      6     12   0.3201 145.0000   0.1751 0.1025E+04 0.4900E+02   1
      6     12   0.3201 145.0000   0.1801 0.9730E+03 0.4900E+02   1
      6     12   0.3201 145.0000   0.1851 0.8650E+03 0.4600E+02   1
      6     12   0.3201 145.0000   0.1901 0.8800E+03 0.4700E+02   1
      6     12   0.3201 145.0000   0.1951 0.7850E+03 0.4500E+02   1
      6     12   0.3201 145.0000   0.2001 0.6970E+03 0.3900E+02   1
      6     12   0.3201 145.0000   0.2051 0.6880E+03 0.4300E+02   1
      6     12   0.3201 145.0000   0.2101 0.7500E+03 0.4800E+02   1
      6     12   0.3201 145.0000   0.2151 0.6370E+03 0.4400E+02   1
      6     12   0.3201 145.0000   0.2201 0.6640E+03 0.4700E+02   1
      6     12   0.3601  90.0000   0.0101 0.1600E+03 0.2000E+02   1
      6     12   0.3601  90.0000   0.0151 0.5000E+02 0.1000E+02   1
      6     12   0.3601  90.0000   0.0201 0.6000E+02 0.1000E+02   1
      6     12   0.3601  90.0000   0.0251 0.1000E+03 0.1000E+02   1
      6     12   0.3601  90.0000   0.0301 0.5900E+03 0.2000E+02   1
      6     12   0.3601  90.0000   0.0351 0.4900E+03 0.3000E+02   1
      6     12   0.3601  90.0000   0.0401 0.6400E+03 0.2000E+02   1
      6     12   0.3601  90.0000   0.0451 0.8500E+03 0.3000E+02   1
      6     12   0.3601  90.0000   0.0501 0.1010E+04 0.3000E+02   1
      6     12   0.3601  90.0000   0.0551 0.1210E+04 0.4000E+02   1
      6     12   0.3601  90.0000   0.0601 0.1480E+04 0.5000E+02   1
      6     12   0.3601  90.0000   0.0651 0.1680E+04 0.5000E+02   1
      6     12   0.3601  90.0000   0.0701 0.1920E+04 0.6000E+02   1
      6     12   0.3601  90.0000   0.0751 0.2200E+04 0.6000E+02   1
      6     12   0.3601  90.0000   0.0801 0.2450E+04 0.7000E+02   1
      6     12   0.3601  90.0000   0.0851 0.2770E+04 0.1200E+03   1
      6     12   0.3601  90.0000   0.0901 0.2990E+04 0.1100E+03   1
      6     12   0.3601  90.0000   0.0951 0.3120E+04 0.1300E+03   1
      6     12   0.3601  90.0000   0.1001 0.3450E+04 0.1400E+03   1
      6     12   0.3601  90.0000   0.1051 0.3450E+04 0.1300E+03   1
      6     12   0.3601  90.0000   0.1101 0.3470E+04 0.1300E+03   1
      6     12   0.3601  90.0000   0.1151 0.3640E+04 0.1400E+03   1
      6     12   0.3601  90.0000   0.1201 0.3850E+04 0.1500E+03   1
      6     12   0.3601  90.0000   0.1251 0.3720E+04 0.1500E+03   1
      6     12   0.3601  90.0000   0.1301 0.3400E+04 0.1200E+03   1
      6     12   0.3601  90.0000   0.1351 0.3460E+04 0.1300E+03   1
      6     12   0.3601  90.0000   0.1401 0.3240E+04 0.1400E+03   1
      6     12   0.3601  90.0000   0.1451 0.3110E+04 0.1400E+03   1
      6     12   0.3601  90.0000   0.1501 0.2930E+04 0.1500E+03   1
      6     12   0.3601  90.0000   0.1551 0.2700E+04 0.1300E+03   1
      6     12   0.3601  90.0000   0.1601 0.2400E+04 0.1200E+03   1
      6     12   0.3601  90.0000   0.1651 0.2270E+04 0.1200E+03   1
      6     12   0.3601  90.0000   0.1701 0.2040E+04 0.1100E+03   1
      6     12   0.3601  90.0000   0.1751 0.1770E+04 0.9000E+02   1
      6     12   0.3601  90.0000   0.1801 0.1680E+04 0.9000E+02   1
      6     12   0.3601  90.0000   0.1851 0.1590E+04 0.9000E+02   1
      6     12   0.3601  90.0000   0.1901 0.1460E+04 0.1000E+03   1
      6     12   0.3601  90.0000   0.1951 0.1320E+04 0.9000E+02   1
      6     12   0.3601  90.0000   0.2001 0.1340E+04 0.9000E+02   1
      6     12   0.3601  90.0000   0.2051 0.1270E+04 0.9000E+02   1
      6     12   0.3601  90.0000   0.2101 0.1330E+04 0.9000E+02   1
      6     12   0.3601  90.0000   0.2151 0.1320E+04 0.1000E+03   1
