A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.022,0.0809,135.0,20120.0,1269.6757539454186,18
12,6,0.02381,0.25,35.0,529000.0,21811.228761962015,16
12,6,0.02409,0.0888,135.0,19400.0,1114.2710802296892,16
12,6,0.02702,0.1,135.0,13190.0,543.9103970346059,16
12,6,0.02401,0.25,35.0,531000.0,21893.690869656642,16
12,6,0.02429,0.0888,135.0,19020.0,1092.7898971380885,16
12,6,0.02722,0.1,135.0,14110.0,581.7702038026623,16
12,6,0.02723,0.1,135.0,13420.0,553.3207749865139,16
12,6,0.02421,0.25,35.0,533000.0,21976.152986096015,16
12,6,0.02741,0.1,135.0,13550.0,558.6080557560499,16
12,6,0.02449,0.0888,135.0,18440.0,1059.2973519882373,16
12,6,0.02441,0.25,35.0,550000.0,22677.080945224083,16
12,6,0.0276,0.1,135.0,13850.0,571.0501291902285,16
12,6,0.02469,0.0888,135.0,18030.0,1035.6576075435678,16
12,6,0.02461,0.25,35.0,556000.0,22924.467277052714,16
12,6,0.02481,0.25,35.0,555000.0,22883.236223205404,16
12,6,0.023,0.0809,135.0,19230.0,1483.318684409333,18
12,6,0.0278,0.1,135.0,14000.0,577.3075523132376,16
12,6,0.02489,0.0888,135.0,16740.0,961.7268270734735,16
12,6,0.0273,0.098,135.0,9075.0,649.8411344761951,18
12,6,0.02491,0.25,35.0,534000.0,22017.384039943332,16
12,6,0.02501,0.25,35.0,510000.0,21027.838686394574,16
12,6,0.02799,0.1,135.0,15110.0,622.9285031052276,16
12,6,0.02509,0.0888,135.0,15400.0,884.8367307374646,16
12,6,0.02511,0.25,35.0,486000.0,20038.293341590565,16
12,6,0.02521,0.25,35.0,467000.0,19254.903274767865,16
12,6,0.02819,0.1,135.0,15190.0,626.2269875810218,16
12,6,0.02529,0.0888,135.0,15360.0,882.6259513665628,16
12,6,0.02531,0.25,35.0,448000.0,18471.513199200424,16
12,6,0.02541,0.25,35.0,424000.0,17481.967854396415,16
12,6,0.02541,0.25,35.0,434000.0,17894.27841910379,16
12,6,0.02549,0.0888,135.0,16390.0,941.6208578455994,16
12,6,0.0284,0.1,135.0,14720.0,606.7756422375271,16
12,6,0.02561,0.25,35.0,448000.0,18471.513199200424,16
12,6,0.02569,0.0888,135.0,16920.0,972.154082407294,16
12,6,0.02861,0.1,135.0,13920.0,573.9363030469879,16
12,6,0.0281,0.098,135.0,8209.0,612.6982494220778,18
12,6,0.02581,0.25,35.0,458000.0,18883.8237639078,16
12,6,0.024,0.0809,135.0,14360.0,1233.771729097109,18
12,6,0.02589,0.0888,135.0,17060.0,979.848314826981,16
12,6,0.0288,0.1,135.0,14380.0,592.9753536124099,16
12,6,0.02601,0.25,35.0,476000.0,19625.982776883186,16
12,6,0.02609,0.0888,135.0,17610.0,1011.7915645192885,16
12,6,0.029,0.1,135.0,14370.0,592.4902784150961,16
12,6,0.02621,0.25,35.0,471000.0,19419.82749890187,16
12,6,0.02629,0.0888,135.0,18180.0,1044.5355714454329,16
12,6,0.0292,0.1,135.0,14260.0,588.0276268999489,16
